"Host","NumPubs"
"lanius isabellinus",1
"lanius ludovicianus",17
"lanius nubicus",1
"lanius schach",3
"lanius senator",4
"larosterna inca",2
"larus argentatus",300
"larus armenicus",3
"larus cachinnans",35
"larus californicus",18
"larus canus",51
"larus crassirostris",30
"larus delawarensis",55
"larus dominicanus",73
"larus fuscus",61
"larus glaucescens",46
"larus glaucoides",4
"larus hyperboreus",77
"larus marinus",38
"larus michahellis",104
"larus mongolicus",6
"larus occidentalis",21
"larus schistisagus",8
"larus smithsonianus",6
"larus vegae",2
"lasionycteris noctivagans",50
"lasiopodomys brandtii",76
"lasiopodomys gregalis",4
"lasiorhinus latifrons",49
"lasiurus blossevillii",3
"lasiurus borealis",49
"lasiurus seminolus",1
"lathamus discolor",7
"leiothlypis celata",0
"leiothrix argentauris",3
"leiothrix lutea",12
"lemmus lemmus",90
"lemmus sibiricus",26
"lemmus trimucronatus",27
"lemniscomys rosalia",4
"lemniscomys striatus",23
"lemur catta",344
"leontocebus fuscicollis",3
"leontocebus nigricollis",1
"leontopithecus chrysomelas",67
"leontopithecus chrysopygus",26
"leontopithecus rosalia",110
"leopardus colocolo",21
"leopardus geoffroyi",40
"leopardus guigna",20
"leopardus pardalis",111
"leopardus tigrinus",55
"leopardus wiedii",45
"leopoldamys edwardsi",20
"leopoldamys neilli",3
"leopoldamys sabanus",10
"lepilemur edwardsi",15
"lepilemur mustelinus",10
"leptailurus serval",28
"leptocoma sperata",0
"leptonychotes weddellii",74
"leptonycteris curasoae",21
"leptonycteris nivalis",10
"leptoptilos crumeniferus",14
"leptotila verreauxi",5
"lepus americanus",141
"lepus brachyurus",12
"lepus californicus",37
"lepus capensis",44
"lepus corsicanus",10
"lepus europaeus",345
"lepus granatensis",36
"lepus oiostolus",5
"lepus saxatilis",23
"lepus timidus",125
"lepus townsendii",5
"leucophaeus atricilla",12
"leucophaeus pipixcan",8
"leucophaeus scoresbii",3
"leucosarcia melanoleuca",0
"leucosticte tephrocotis",3
"limicola falcinellus",0
"limnodromus scolopaceus",3
"limosa lapponica",25
"limosa limosa",107
"linaria flavirostris",0
"liomys adspersus",0
"liomys salvini",5
"lissonycteris angolensis",4
"litocranius walleri",11
"lobodon carcinophaga",7
"lonchophylla robusta",0
"lonchura atricapilla",1
"lonchura castaneothorax",2
"lonchura maja",2
"lonchura punctulata",35
"lonchura striata",88
"lontra canadensis",84
"lophocebus albigena",44
"lophocebus aterrimus",10
"lophochroa leadbeateri",1
"lophodytes cucullatus",10
"lophophorus impejanus",4
"lophophorus lhuysii",5
"lophostoma silvicolum",5
"lophura erythrophthalma",1
"lophura leucomelanos",3
"lophura nycthemera",10
"lophura swinhoii",5
"lophuromys flavopunctatus",7
"lophuromys machangui",1
"lophuromys nudicaudus",0
"lophuromys sikapusi",2
"loris lydekkerianus",21
"lorius chlorocercus",2
"lorius lory",4
"loxia curvirostra",61
"loxodonta africana",556
"loxodontomys micropus",4
"luscinia luscinia",92
"luscinia svecica",26
"lutra lutra",270
"lybius dubius",2
"lycalopex culpaeus",15
"lycalopex griseus",9
"lycalopex gymnocercus",34
"lycalopex vetulus",18
"lycaon pictus",155
"lynx canadensis",82
"lynx lynx",798
"lynx pardinus",91
"lynx rufus",170
"lyrurus tetrix",15
"macaca arctoides",344
"macaca cyclopis",80
"macaca fascicularis",4043
"macaca fuscata",965
"macaca leonina",40
"macaca maura",12
"macaca mulatta",6602
"macaca nemestrina",1023
"macaca nigra",184
"macaca nigrescens",5
"macaca ochreata",3
"macaca radiata",416
"macaca silenus",64
"macaca sinica",48
"macaca sylvanus",159
"macaca tonkeana",68
"macroglossus minimus",6
"macroglossus sobrinus",1
"macronectes giganteus",17
"macronycteris commersoni",2
"macronycteris gigas",0
"macronycteris vittata",0
"macropus fuliginosus",73
"macropus giganteus",170
"macrotis lagotis",17
"macrotus californicus",17
"madoqua kirkii",14
"madoqua saltiana",4
"malacomys longipes",4
"malacorhynchus membranaceus",0
"malurus cyaneus",46
"mandrillus leucophaeus",42
"mandrillus sphinx",135
"manis pentadactyla",53
"manorina melanophrys",6
"mareca americana",2
"mareca falcata",0
"mareca penelope",4
"mareca sibilatrix",1
"mareca strepera",7
"marmaronetta angustirostris",5
"marmosa demerarae",10
"marmosa murina",15
"marmosa robinsoni",6
"marmosets",3
"marmosops parvidens",3
"marmota baibacina",11
"marmota caudata",8
"marmota flaviventris",74
"marmota himalayana",47
"marmota marmota",493
"marmota monax",245
"marmota sibirica",13
"martes americana",68
"martes foina",113
"martes martes",377
"martes melampus",33
"martes pennanti",65
"martes zibellina",50
"mastomys awashensis",1
"mastomys coucha",152
"mastomys erythroleucus",42
"mastomys huberti",21
"mastomys natalensis",540
"maxomys surifer",15
"maxomys whiteheadi",9
"mazama americana",45
"mazama gouazoupira",1
"mazama nana",7
"megaderma lyra",36
"megaderma spasma",7
"megadontomys nelsoni",2
"megaerops niphanae",2
"megalaima zeylanica",0
"megaloglossus woermanni",3
"megascops asio",24
"megascops choliba",9
"melanerpes carolinus",7
"melanitta americana",3
"melanitta fusca",24
"melanitta nigra",21
"melanitta perspicillata",21
"melanomys caliginosus",9
"meleagris gallopavo",558
"meleagris ocellata",3
"meles leucurus",9
"meles meles",554
"melithreptus brevirostris",0
"mellivora capensis",10
"melogale moschata",21
"melopsittacus undulatus",459
"melospiza georgiana",22
"melospiza melodia",214
"melozone fusca",2
"melursus ursinus",20
"menetes berdmorei",7
"menura novaehollandiae",5
"mephitis macroura",11
"mephitis mephitis",260
"mergellus albellus",2
"mergus merganser",37
"mergus serrator",14
"meriones crassus",87
"meriones libycus",101
"meriones meridianus",58
"meriones shawi",68
"meriones tamariscinus",26
"meriones unguiculatus",1536
"merops apiaster",28
"merops ornatus",2
"mesocricetus auratus",1731
"mesomys hispidus",7
"mesoplodon bidens",8
"mesoplodon bowdoini",3
"mesoplodon grayi",4
"mesoplodon mirus",11
"metachirus nudicaudatus",17
"micaelamys namaquensis",18
"mico argentatus",4
"mico leucippe",0
"microcarbo melanoleucos",0
"microcarbo niger",0
"microcarbo pygmaeus",0
"microcebus murinus",354
"microeca fascinans",0
"micromys minutus",76
"micronycteris megalotis",2
"micropteropus pusillus",8
"microtus agrestis",427
"microtus arvalis",516
"microtus californicus",71
"microtus dogramacii",0
"microtus duodecimcostatus",13
"microtus fortis",91
"microtus guentheri",27
"microtus ilaeus",2
"microtus levis",16
"microtus longicaudus",10
"microtus majori",6
"microtus maximowiczii",10
"microtus mexicanus",6
"microtus miurus",4
"microtus montanus",122
"microtus montebelli",51
"microtus obscurus",18
"microtus ochrogaster",473
"microtus oeconomus",172
"microtus pennsylvanicus",282
"microtus pinetorum",47
"microtus richardsoni",4
"microtus socialis",36
"microtus xanthognathus",6
"millardia meltada",24
"milvus migrans",87
"milvus milvus",126
"mimus polyglottos",29
"miniopterus africanus",0
"miniopterus fuliginosus",41
"miniopterus fuscus",2
"miniopterus inflatus",7
"miniopterus magnater",6
"miniopterus minor",6
"miniopterus natalensis",15
"miniopterus pusillus",11
"miniopterus schreibersii",100
"miopithecus ogouensis",3
"miopithecus talapoin",25
"mirounga angustirostris",236
"mirounga leonina",139
"mniotilta varia",6
"molossops neglectus",1
"molossus molossus",178
"molossus pretiosus",1
"molossus rufus",14
"molossus sinaloae",3
"molothrus ater",168
"molothrus bonariensis",27
"monachus monachus",197
"monasa nigrifrons",1
"monodelphis brevicaudata",8
"monodelphis domestica",693
"montifringilla henrici",1
"mops condylurus",13
"mops midas",0
"mormoops megalophylla",11
"morus bassanus",48
"morus serrator",17
"moschus berezovskii",48
"moschus chrysogaster",13
"motacilla alba",17
"motacilla capensis",0
"motacilla flava",11
"mungos mungo",62
"muntiacus muntjak",78
"muntiacus reevesi",63
"murina aurata",0
"murina cyclotis",1
"murina leucogaster",15
"mus baoulei",2
"mus booduga",68
"mus caroli",153
"mus cervicolor",45
"mus cookii",24
"mus mattheyi",3
"mus minutoides",51
"mus musculoides",7
"mus musculus",5456
"mus setulosus",4
"mus spicilegus",86
"mus spretus",632
"mus terricolor",20
"muscicapa striata",4
"musophaga rossae",0
"mustela erminea",83
"mustela eversmannii",4
"mustela frenata",11
"mustela itatsi",21
"mustela kathiah",1
"mustela lutreola",55
"mustela nigripes",66
"mustela nivalis",77
"mustela putorius",617
"mustela sibirica",35
"mycteria leucocephala",6
"myiarchus crinitus",4
"myiarchus tyrannulus",2
"myiobius barbatus",1
"myiopsitta monachus",56
"myiozetetes granadensis",0
"myiozetetes similis",2
"myocastor coypus",156
"myodes andersoni",2
"myodes gapperi",24
"myodes glareolus",488
"myodes regulus",24
"myodes rex",2
"myodes rufocanus",42
"myodes rutilus",34
"myodes smithii",1
"myonycteris torquata",8
"myoprocta acouchy",5
"myopus schisticolor",25
"myotis albescens",7
"myotis altarium",4
"myotis austroriparius",7
"myotis bechsteinii",36
"myotis blythii",27
"myotis brandtii",32
"myotis californicus",12
"myotis capaccinii",15
"myotis chiloensis",6
"myotis chinensis",3
"myotis ciliolabrum",6
"myotis dasycneme",29
"myotis daubentonii",110
"myotis davidii",19
"myotis emarginatus",14
"myotis evotis",9
"myotis fimbriatus",7
"myotis grisescens",12
"myotis horsfieldii",3
"myotis keaysi",3
"myotis keenii",4
"myotis laniger",1
"myotis leibii",1
"myotis levis",7
"myotis longipes",0
"myotis lucifugus",378
"myotis macrodactylus",13
"myotis muricola",2
"myotis myotis",1116
"myotis mystacinus",28
"myotis nattereri",55
"myotis nigricans",31
"myotis oxygnathus",12
"myotis oxyotus",2
"myotis ricketti",21
"myotis riparius",8
"myotis ruber",4
"myotis septentrionalis",30
"myotis siligorensis",2
"myotis thysanodes",10
"myotis velifer",28
"myotis volans",9
"myotis yumanensis",11
"myotomys unisulcatus",2
"myrmecobius fasciatus",18
"myrmecophaga tridactyla",83
"naemorhedus goral",23
"nandinia binotata",10
"nanger dama",14
"nanger granti",7
"napaeozapus insignis",2
"nasalis larvatus",51
"nasua narica",40
"nasua nasua",164
"natalus stramineus",4
"natalus tumidirostris",2
"neacomys musseri",2
"neacomys spinosus",6
"necromys benefactus",2
"necromys lasiurus",35
"necromys obscurus",0
"necrosyrtes monachus",5
"nectarinia olivacea",4
"nectomys squamipes",86
"neochen jubata",3
"neochmia temporalis",3
"neodon clarkei",2
"neodon fuscus",4
"neofelis nebulosa",61
"neomonachus schauinslandi",9
"neomys anomalus",13
"neomys fodiens",44
"neophema chrysogaster",6
"neophema elegans",1
"neophema pulchella",0
"neophema splendida",4
"neophoca cinerea",40
"neophocaena phocaenoides",84
"neophron percnopterus",54
"neopsephotus bourkii",7
"neoromicia brunneus",0
"neoromicia tenuipinnis",0
"neotoma albigula",68
"neotoma cinerea",16
"neotoma floridana",35
"neotoma fuscipes",66
"neotoma lepida",56
"neotoma leucodon",3
"neotoma macrotis",14
"neotoma mexicana",33
"neotoma micropus",55
"neotoma stephensi",24
"neovison vison",263
"nephelomys albigularis",0
"nesokia indica",40
"nestor notabilis",35
"netta peposaca",5
"netta rufina",6
"neurotrichus gibbsii",10
"ninox boobook",6
"ninox connivens",1
"ninox novaeseelandiae",6
"ninox scutulata",1
"ninox strenua",8
"nipponia nippon",36
"nisaetus cirrhatus",1
"nisaetus nipalensis",4
"niviventer andersoni",3
"niviventer confucianus",27
"niviventer coninga",1
"niviventer cremoriventer",4
"niviventer eha",3
"niviventer fulvescens",12
"niviventer niviventer",59
"noctilio albiventris",24
"nomascus concolor",39
"nomascus gabriellae",18
"nomascus leucogenys",48
"northiella haematogaster",0
"notamacropus agilis",0
"notamacropus dorsalis",1
"notamacropus eugenii",5
"notamacropus irma",2
"notamacropus parma",1
"notamacropus parryi",0
"notamacropus rufogriseus",5
"notiomystis cincta",40
"numenius arquata",16
"numenius phaeopus",15
"numida meleagris",211
"nyctalus noctula",65
"nyctalus velutinus",3
"nyctanassa violacea",9
"nyctereutes procyonoides",293
"nycteris grandis",1
"nycteris hispida",2
"nycteris thebaica",9
"nycteris tragata",0
"nycticebus bengalensis",10
"nycticebus coucang",118
"nycticebus pygmaeus",34
"nycticeius humeralis",11
"nycticorax caledonicus",1
"nycticorax nycticorax",105
"nyctimene cephalotes",0
"nyctinomops laticaudatus",17
"nyctinomops macrotis",11
"nymphicus hollandicus",158
"oceanodroma castro",11
"oceanodroma leucorhoa",31
"ochotona alpina",4
"ochotona collaris",12
"ochotona curzoniae",101
"ochotona dauurica",10
"ochotona pallasi",8
"ochotona thibetana",2
"ochrotomys nuttalli",8
"octodon degus",343
"ocyphaps lophotes",6
"odobenus rosmarus",106
"odocoileus hemionus",403
"odocoileus virginianus",1216
"oecomys bicolor",3
"oecomys paricola",4
"oena capensis",3
"oenanthe isabellina",6
"okapia johnstoni",38
"oligoryzomys chacoensis",5
"oligoryzomys flavescens",41
"oligoryzomys fornesi",8
"oligoryzomys fulvescens",13
"oligoryzomys longicaudatus",42
"oligoryzomys microtis",14
"oligoryzomys nigripes",69
"ondatra zibethicus",123
"onychogalea unguifera",1
"onychomys leucogaster",57
"onychomys torridus",17
"onychoprion fuscatus",10
"orcinus orca",268
"oreamnos americanus",69
"oreoscoptes montanus",5
"oreotragus oreotragus",10
"orientallactaga sibirica",0
"oriolus flavocinctus",0
"oriolus oriolus",11
"ornithorhynchus anatinus",205
"ortalis vetula",3
"oryctolagus cuniculus",1537
"oryx beisa",7
"oryx dammah",43
"oryx gazella",61
"oryx leucoryx",62
"oryzomys couesi",7
"oryzomys palustris",67
"osphranter antilopinus",4
"osphranter robustus",6
"osphranter rufus",3
"otaria byronia",22
"otis tarda",32
"otocolobus manul",21
"otocyon megalotis",23
"otolemur crassicaudatus",30
"otomops martiensseni",4
"otomys irroratus",10
"otomys tropicalis",0
"otospermophilus beecheyi",12
"otospermophilus variegatus",4
"otus scops",43
"ourebia ourebi",6
"ovibos moschatus",129
"ovis ammon",76
"ovis aries",1298
"ovis canadensis",353
"ovis dalli",66
"ovis orientalis",85
"oxymycterus nasutus",7
"oxymycterus quaestor",3
"oxymycterus rufus",14
"oxyura jamaicensis",21
"oxyura leucocephala",9
"ozotoceros bezoarticus",46
"pachyuromys duprasi",15
"padda oryzivora",17
"paguma larvata",45
"pan paniscus",533
"pan troglodytes",2489
"pandion haliaetus",95
"panthera leo",488
"panthera onca",189
"panthera pardus",263
"panthera tigris",375
"panthera uncia",88
"panurus biarmicus",7
"papio anubis",827
"papio cynocephalus",553
"papio hamadryas",592
"papio papio",3081
"papio ursinus",415
"parabuteo unicinctus",29
"paradisaea apoda",0
"paradoxurus hermaphroditus",19
"paradoxurus zeylonensis",0
"parahyaena brunnea",10
"parahypsugo crassulus",0
"parastrellus hesperus",0
"parkesia noveboracensis",1
"paroaria coronata",3
"parotomys brantsii",3
"paruromys dominator",6
"parus major",754
"parvipsitta porphyrocephala",0
"passer domesticus",749
"passer hispaniolensis",20
"passer luteus",0
"passer montanus",116
"passerculus sandwichensis",41
"passerella iliaca",10
"passerina cyanea",19
"patagioenas fasciata",9
"pavo cristatus",98
"pavo muticus",12
"pecari tajacu",96
"pedetes capensis",17
"pelea capreolus",13
"pelecanus conspicillatus",8
"pelecanus crispus",12
"pelecanus erythrorhynchos",35
"pelecanus occidentalis",62
"pelecanus onocrotalus",21
"pelecanus philippensis",3
"penelope superciliaris",2
"penelopina nigra",1
"peponocephala electra",31
"perameles bougainville",16
"perameles gunnii",20
"perameles nasuta",23
"perdix perdix",85
"perimyotis subflavus",25
"periparus ater",12
"pernis apivorus",22
"perodicticus potto",55
"perognathus parvus",11
"peromyscus attwateri",5
"peromyscus aztecus",11
"peromyscus beatae",5
"peromyscus boylii",36
"peromyscus californicus",187
"peromyscus crinitus",8
"peromyscus difficilis",8
"peromyscus eremicus",59
"peromyscus gossypinus",43
"peromyscus leucopus",686
"peromyscus maniculatus",892
"peromyscus megalops",3
"peromyscus melanophrys",6
"peromyscus melanotis",10
"peromyscus mexicanus",13
"peromyscus pectoralis",6
"peromyscus truei",30
"petaurus breviceps",55
"petrochelidon pyrrhonota",59
"petrogale assimilis",8
"petrogale inornata",3
"petrogale lateralis",13
"petrogale mareeba",1
"petrogale persephone",5
"petrogale purpureicollis",3
"petrogale xanthopus",8
"petroica traversi",8
"phacochoerus aethiopicus",53
"phacochoerus africanus",41
"phalacrocorax aristotelis",52
"phalacrocorax auritus",122
"phalacrocorax brasilianus",20
"phalacrocorax capensis",4
"phalacrocorax carbo",189
"phalacrocorax pelagicus",6
"phalacrocorax sulcirostris",1
"phalaropus fulicarius",8
"phaner parienti",3
"phascolarctos cinereus",400
"phasianus colchicus",321
"phataginus tricuspis",11
"pheucticus melanocephalus",5
"philander frenatus",4
"philander opossum",52
"philantomba maxwellii",1
"philantomba monticola",7
"philesturnus carunculatus",8
"philetor brachypterus",0
"philydor erythrocercum",0
"phoca fasciata",19
"phoca groenlandica",96
"phoca largha",66
"phoca vitulina",757
"phocarctos hookeri",33
"phocoena phocoena",457
"phocoena spinipinnis",15
"phocoenoides dalli",45
"phodopus roborovskii",42
"phodopus sungorus",660
"phoebastria immutabilis",29
"phoeniconaias minor",27
"phoenicopterus chilensis",19
"phoenicopterus roseus",44
"phoenicopterus ruber",67
"phoeniculus purpureus",10
"phoenicurus ochruros",13
"phoenicurus phoenicurus",52
"phyllomys dasythrix",0
"phylloscopus collybita",24
"phylloscopus inornatus",6
"phylloscopus proregulus",3
"phylloscopus trochilus",43
"phyllostomus discolor",83
"phyllostomus hastatus",51
"phyllotis darwini",43
"physeter catodon",43
"piaya minuta",0
"pica hudsonia",11
"pica nuttalli",7
"pica pica",2542
"picathartes gymnocephalus",0
"picus canus",5
"picus viridis",3
"piliocolobus badius",22
"piliocolobus rufomitratus",6
"piliocolobus tephrosceles",11
"piliocolobus tholloni",0
"pinicola enucleator",5
"pionites leucogaster",2
"pionites melanocephalus",1
"pionopsitta pileata",2
"pionus chalcopterus",2
"pionus fuscus",1
"pionus maximiliani",2
"pionus menstruus",3
"pipilo chlorurus",0
"pipilo erythrophthalmus",9
"pipistrellus abramus",38
"pipistrellus ceylonicus",3
"pipistrellus coromandra",2
"pipistrellus hesperidus",5
"pipistrellus kuhlii",38
"pipistrellus nanulus",1
"pipistrellus nathusii",22
"pipistrellus pipistrellus",314
"pipistrellus pygmaeus",36
"pipra erythrocephala",1
"piranga flava",0
"piranga ludoviciana",4
"piranga olivacea",1
"pitangus sulphuratus",10
"pithecia irrorata",12
"pithecia monachus",9
"pithecia pithecia",109
"pitta sordida",3
"platalea leucorodia",18
"platalea minor",10
"platycercus elegans",20
"platycercus eximius",20
"platycercus venustus",1
"platyrrhinus helleri",4
"platyrrhinus lineatus",19
"plecotus auritus",59
"plecotus austriacus",16
"plectrophenax nivalis",20
"plectropterus gambensis",1
"plecturocebus brunneus",1
"plecturocebus caligatus",1
"plecturocebus moloch",4
"plegadis falcinellus",17
"ploceus cucullatus",7
"ploceus melanocephalus",3
"ploceus ocularis",1
"ploceus velatus",3
"pluvialis apricaria",8
"pluvialis fulva",3
"pluvialis squatarola",17
"podargus strigoides",11
"podiceps auritus",9
"podiceps cristatus",36
"podiceps grisegena",13
"podiceps nigricollis",21
"podilymbus podiceps",8
"poecile atricapillus",136
"poecile carolinensis",37
"poecile montanus",15
"poecile palustris",14
"poephila cincta",4
"poephila personata",0
"poicephalus cryptoxanthus",1
"poicephalus gulielmi",2
"poicephalus meyeri",2
"poicephalus robustus",6
"poicephalus rueppellii",1
"poicephalus rufiventris",2
"poicephalus senegalus",4
"polysticta stelleri",12
"polytelis anthopeplus",2
"polytelis swainsonii",0
"pongo abelii",183
"pongo pygmaeus",525
"porcula salvania",4
"porphyrio martinica",2
"potamochoerus larvatus",18
"potamochoerus porcus",23
"potorous gilbertii",10
"potorous longipes",4
"potorous tridactylus",60
"potos flavus",29
"praomys daltoni",7
"praomys derooi",1
"praomys jacksoni",4
"praomys misonnei",3
"praomys rostratus",4
"praomys tullbergi",8
"presbytis melalophos",16
"primolius auricollis",2
"primolius couloni",3
"primolius maracana",5
"prionailurus bengalensis",70
"prionailurus iriomotensis",8
"prionailurus planiceps",5
"prionailurus viverrinus",21
"prionodon linsang",6
"probosciger aterrimus",8
"procapra gutturosa",21
"procapra przewalskii",16
"procarduelis nipalensis",0
"procavia capensis",103
"procolobus verus",10
"procyon cancrivorus",20
"procyon lotor",725
"proechimys cuvieri",8
"proechimys guairae",7
"proechimys guyannensis",23
"proechimys longicaudatus",5
"proechimys semispinosus",11
"progne subis",15
"prolemur simus",10
"promops centralis",0
"propithecus coquereli",43
"propithecus deckenii",0
"propithecus tattersalli",19
"propithecus verreauxi",104
"proteles cristata",3
"prunella modularis",31
"psaltriparus minimus",2
"psarocolius decumanus",3
"psarocolius viridis",1
"psarocolius wagleri",0
"psephotellus chrysopterygius",0
"psephotellus dissimilis",0
"psephotellus varius",1
"psephotus haematonotus",5
"pseudocheirus peregrinus",47
"pseudochirulus herbertensis",0
"pseudois nayaur",42
"pseudomys novaehollandiae",3
"pseudorca crassidens",85
"pseudoscops clamator",0
"psittacara erythrogenys",1
"psittacara finschi",0
"psittacara leucophthalmus",4
"psittacara wagleri",0
"psittacula alexandri",4
"psittacula columboides",1
"psittacula cyanocephala",6
"psittacula derbiana",2
"psittacula echo",4
"psittacula eques",3
"psittacula eupatria",10
"psittacula finschii",1
"psittacula himalayana",1
"psittacula krameri",69
"psittaculirostris edwardsii",0
"psittacus erithacus",173
"psittacus timneh",15
"psitteuteles goldiei",0
"pternistis leucoscepus",1
"pternistis squamatus",0
"pteroglossus torquatus",0
"pteroglossus viridis",3
"pteromys volans",21
"pteronotus davyi",6
"pteronotus parnellii",161
"pteropus admiralitatum",0
"pteropus alecto",96
"pteropus capistratus",1
"pteropus conspicillatus",29
"pteropus dasymallus",7
"pteropus giganteus",61
"pteropus hypomelanus",42
"pteropus lylei",22
"pteropus neohibernicus",2
"pteropus poliocephalus",78
"pteropus pumilus",13
"pteropus rodricensis",10
"pteropus rufus",16
"pteropus scapulatus",38
"pteropus tonganus",3
"pteropus vampyrus",61
"pudu puda",25
"puffinus puffinus",131
"puma concolor",335
"puma yagouaroundi",35
"purpureicephalus spurius",2
"pusa caspica",14
"pusa hispida",94
"pusa sibirica",45
"pycnonotus jocosus",7
"pycnonotus leucotis",1
"pycnonotus plumosus",1
"pycnonotus sinensis",21
"pycnonotus xanthopygos",8
"pygathrix nemaeus",22
"pygoscelis adeliae",156
"pygoscelis antarcticus",22
"pygoscelis papua",110
"pyrenestes sanguineus",1
"pyrilia barrabandi",0
"pyroderus scutatus",0
"pyrrhula erythaca",4
"pyrrhula pyrrhula",31
"pyrrhura cruentata",1
"pyrrhura frontalis",2
"pyrrhura griseipectus",0
"pyrrhura molinae",4
"pyrrhura perlata",0
"pytilia hypogrammica",1
"quelea quelea",44
"querula purpurata",2
"quiscalus major",6
"quiscalus quiscula",38
"rallus aquaticus",9
"ramphastos dicolorus",1
"ramphastos sulfuratus",6
"ramphastos swainsonii",3
"ramphastos toco",23
"ramphocelus carbo",4
"ramphocelus passerinii",2
"rangifer tarandus",737
"raphicerus campestris",12
"raphicerus sharpei",0
"rattus andamanensis",6
"rattus argentiventer",28
"rattus exulans",113
"rattus flavipectus",53
"rattus fuscipes",43
"rattus hoffmanni",2
"rattus leucopus",17
"rattus losea",59
"rattus lutreolus",11
"rattus nitidus",13
"rattus norvegicus",3619
"rattus pyctoris",1
"rattus rattus",5218
"rattus sordidus",4
"rattus tanezumi",86
"rattus tiomanicus",29
"rattus tunneyi",4
"rattus xanthurus",4
"ratufa bicolor",4
"ratufa macroura",3
"recurvirostra novaehollandiae",1
"redunca arundinum",9
"redunca fulvorufula",12
"redunca redunca",35
"regulus satrapa",1
"reithrodontomys fulvescens",15
"reithrodontomys megalotis",47
"reithrodontomys sumichrasti",10
"rhabdomys pumilio",96
"rhea americana",111
"rhea pennata",15
"rhinoceros unicornis",93
"rhinolophus acuminatus",1
"rhinolophus affinis",22
"rhinolophus alcyone",1
"rhinolophus arcuatus",1
"rhinolophus blasii",5
"rhinolophus blythi",3
"rhinolophus clivosus",9
"rhinolophus coelophyllus",0
"rhinolophus cornutus",10
"rhinolophus creaghi",0
"rhinolophus eloquens",2
"rhinolophus euryale",13
"rhinolophus ferrumequinum",141
"rhinolophus fumigatus",0
"rhinolophus hildebrandti",1
"rhinolophus hipposideros",80
"rhinolophus landeri",2
"rhinolophus lepidus",4
"rhinolophus luctus",2
"rhinolophus macrotis",8
"rhinolophus mehelyi",10
"rhinolophus monoceros",11
"rhinolophus paradoxolophus",0
"rhinolophus pearsonii",0
"rhinolophus pusillus",18
"rhinolophus rex",1
"rhinolophus rouxii",2
"rhinolophus shameli",1
"rhinolophus simulator",3
"rhinolophus sinicus",42
"rhinolophus thomasi",3
"rhinolophus trifoliatus",0
"rhinophylla pumilio",4
"rhinopithecus bieti",91
"rhinopithecus roxellana",142
"rhinopoma hardwickii",6
"rhinosciurus laticaudatus",1
"rhipidura fuliginosa",4
"rhizomys pruinosus",12
"rhizomys sinensis",16
"rhogeessa parvula",3
"rhogeessa tumida",3
"rhombomys opimus",160
"rhopocichla atriceps",0
"rhynchonycteris naso",5
"rhynchotus rufescens",12
"riparia paludicola",1
"riparia riparia",331
"rissa tridactyla",161
"romerolagus diazi",16
"rousettus aegyptiacus",202
"rousettus amplexicaudatus",10
"rousettus leschenaultii",21
"rousettus madagascariensis",9
"rucervus duvaucelii",4
"rupicapra pyrenaica",105
"rupicapra rupicapra",265
"rupicola rupicola",60
"rupornis magnirostris",14
"rusa alfredi",2
"rusa timorensis",48
"rusa unicolor",39
"ruwenzorisorex suncoides",0
"rynchops niger",13
"saccolaimus flaviventris",5
"saccolaimus saccolaimus",7
"sagittarius serpentarius",5
"saguinus bicolor",17
"saguinus geoffroyi",47
"saguinus imperator",32
"saguinus labiatus",66
"saguinus midas",50
"saguinus mystax",100
"saguinus oedipus",395
"saiga tatarica",42
"saimiri boliviensis",160
"saimiri oerstedii",13
"saimiri sciureus",1188
"saimiri ustus",16
"saltator maximus",0
"sapajus apella",107
"sapajus cay",11
"sapajus libidinosus",72
"sapajus nigritus",30
"sapajus xanthosternos",13
"sarcophilus harrisii",168
"sarkidiornis sylvicola",0
"saxicola rubetra",5
"saxicola torquatus",3
"sayornis phoebe",8
"scalopus aquaticus",29
"sciurus carolinensis",219
"sciurus granatensis",11
"sciurus griseus",28
"sciurus niger",64
"sciurus variegatoides",8
"sciurus vulgaris",172
"scolopax minor",15
"scolopax rusticola",25
"scotophilus dinganii",1
"scotophilus heathii",6
"scotophilus kuhlii",16
"scotophilus leucogaster",3
"scotophilus nigrita",0
"scotophilus nux",0
"seiurus aurocapilla",25
"sekeetamys calurus",6
"semnopithecus entellus",32
"semnopithecus priam",7
"semnopithecus schistaceus",6
"sericornis frontalis",9
"serinus canaria",214
"serinus leucopygius",0
"setonix brachyurus",129
"setophaga coronata",16
"setophaga magnolia",2
"setophaga pensylvanica",3
"setophaga petechia",13
"setophaga ruticilla",34
"setophaga striata",4
"sialia mexicana",26
"sialia sialis",59
"sibirionetta formosa",0
"sicalis flaveola",15
"sicalis luteola",2
"sicista betulina",4
"sigmodon alstoni",12
"sigmodon hispidus",410
"sigmodon mascotensis",4
"sigmodon toltecus",4
"sitta canadensis",5
"sitta carolinensis",15
"sitta europaea",22
"sminthopsis dolichura",1
"somateria fischeri",18
"somateria mollissima",208
"somateria spectabilis",10
"sooretamys angouya",14
"sorex araneus",377
"sorex arcticus",0
"sorex caecutiens",23
"sorex cinereus",27
"sorex coronatus",16
"sorex daphaenodon",4
"sorex hoyi",3
"sorex isodon",6
"sorex minutus",65
"sorex roboratus",4
"sorex shinto",5
"sorex tundrensis",11
"sorex unguiculatus",24
"sorex vagrans",8
"sotalia fluviatilis",26
"sotalia guianensis",98
