"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"acanthurus chirurgus","actinopteri","acanthuriformes","acanthuridae","acanthurus",TRUE,1,1,"mycobacterium marinum","mycobacterium marinum","Broad (serology, sequencing or isolation)"
"acanthurus nigrofuscus","actinopteri","acanthuriformes","acanthuridae","acanthurus",FALSE,1,0,"epulopiscium fishelsoni","","Broad (serology, sequencing or isolation)"
"accipiter cooperii","aves","accipitriformes","accipitridae","accipiter",TRUE,5,2,"haemoproteus elani, leucocytozoon toddi, columbid alphaherpesvirus 1, influenza a virus, west nile virus","influenza a virus, west nile virus","Broad (serology, sequencing or isolation)"
"accipiter gentilis","aves","accipitriformes","accipitridae","accipiter",TRUE,10,8,"chlamydia psittaci, clostridium botulinum, coxiella burnetii, escherichia coli, francisella tularensis, mycoplasma lipofaciens, columbid alphaherpesvirus 1, fowlpox virus, influenza a virus, west nile virus","chlamydia psittaci, clostridium botulinum, coxiella burnetii, escherichia coli, francisella tularensis, mycoplasma lipofaciens, influenza a virus, west nile virus","Broad (serology, sequencing or isolation)"
"accipiter gularis","aves","accipitriformes","accipitridae","accipiter",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"accipiter nisus","aves","accipitriformes","accipitridae","accipiter",TRUE,9,6,"aeromonas hydrophila, campylobacter jejuni, escherichia coli, leucocytozoon toddi, trypanosoma avium, avian orthoavulavirus 1, columbid alphaherpesvirus 1, influenza a virus, west nile virus","aeromonas hydrophila, campylobacter jejuni, escherichia coli, avian orthoavulavirus 1, influenza a virus, west nile virus","Broad (serology, sequencing or isolation)"
"accipiter striatus","aves","accipitriformes","accipitridae","accipiter",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"accipiter trivirgatus","aves","accipitriformes","accipitridae","accipiter",TRUE,2,1,"ornithobacterium rhinotracheale, influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"acerodon celebensis","mammalia","chiroptera","pteropodidae","acerodon",TRUE,12,1,"acerodon celebensis polyomavirus 1, acerodon celebensis polyomavirus 2, influenza a virus, paramyxovirus predict_pmv-93, paramyxovirus predict_pmv-95, predict_cov-73, predict_cov-83, predict_mastv-136, predict_pmv-111, predict_pmv-93, predict_pmv-95, rousettus bat coronavirus hku9","influenza a virus","Broad (serology, sequencing or isolation)"
"acinonyx jubatus","mammalia","carnivora","felidae","acinonyx",TRUE,29,14,"bacillus anthracis, bartonella henselae, clostridium perfringens, helicobacter acinonychis, helicobacter heilmannii, helicobacter sp., mycobacterium tuberculosis, cryptococcus gattii vgi, trichinella nelsoni, babesia lengau, hepatozoon sp., neospora caninum, african horse sickness virus, alphacoronavirus 1, bluetongue virus, canine morbillivirus, cardiovirus a, carnivore protoparvovirus 1, cowpox virus, dabie bandavirus, felid alphaherpesvirus 1, feline calicivirus, feline immunodeficiency virus, feline leukemia virus, influenza a virus, lambdapapillomavirus 1, mamastrovirus 2, rabies lyssavirus, rift valley fever phlebovirus","bacillus anthracis, bartonella henselae, clostridium perfringens, helicobacter heilmannii, mycobacterium tuberculosis, cryptococcus gattii vgi, alphacoronavirus 1, canine morbillivirus, cardiovirus a, cowpox virus, dabie bandavirus, influenza a virus, rabies lyssavirus, rift valley fever phlebovirus","Broad (serology, sequencing or isolation)"
"acipenser baerii","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,4,2,"bacillus circulans, yersinia ruckeri, acipenserid herpesvirus 2, carp sprivivirus","bacillus circulans, yersinia ruckeri","Broad (serology, sequencing or isolation)"
"acipenser brevirostrum","actinopteri","acipenseriformes","acipenseridae","acipenser",FALSE,1,0,"acipenserid herpesvirus 2","","Broad (serology, sequencing or isolation)"
"acipenser gueldenstaedtii","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,2,1,"mycobacteroides chelonae, cyprinid herpesvirus 3","mycobacteroides chelonae","Broad (serology, sequencing or isolation)"
"acipenser oxyrinchus","actinopteri","acipenseriformes","acipenseridae","acipenser",FALSE,1,0,"cyprinid herpesvirus 3","","Broad (serology, sequencing or isolation)"
"acipenser persicus","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,3,3,"enterococcus faecalis, lactococcus garvieae, pediococcus pentosaceus","enterococcus faecalis, lactococcus garvieae, pediococcus pentosaceus","Broad (serology, sequencing or isolation)"
"acipenser ruthenus","actinopteri","acipenseriformes","acipenseridae","acipenser",FALSE,1,0,"amphilina foliacea","","Broad (serology, sequencing or isolation)"
"acipenser schrenckii","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,5,5,"acinetobacter junii, aeromonas hydrophila, mycobacterium marinum, streptococcus dysgalactiae, yersinia ruckeri","acinetobacter junii, aeromonas hydrophila, mycobacterium marinum, streptococcus dysgalactiae, yersinia ruckeri","Broad (serology, sequencing or isolation)"
"acipenser sinensis","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,1,1,"mycobacterium marinum","mycobacterium marinum","Broad (serology, sequencing or isolation)"
"acipenser sturio","actinopteri","acipenseriformes","acipenseridae","acipenser",TRUE,2,2,"aeromonas veronii, pseudomonas aeruginosa","aeromonas veronii, pseudomonas aeruginosa","Broad (serology, sequencing or isolation)"
"acipenser transmontanus","actinopteri","acipenseriformes","acipenseridae","acipenser",FALSE,2,0,"acipenserid herpesvirus 2, sturgeon ichtadenovirus a","","Broad (serology, sequencing or isolation)"
"acomys cahirinus","mammalia","rodentia","muridae","acomys",TRUE,4,3,"bartonella elizabethae, gabek phlebovirus, rift valley fever phlebovirus, west nile virus","bartonella elizabethae, rift valley fever phlebovirus, west nile virus","Broad (serology, sequencing or isolation)"
"acomys dimidiatus","mammalia","rodentia","muridae","acomys",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"acomys johannis","mammalia","rodentia","muridae","acomys",FALSE,1,0,"trypanosoma lewisi","","Broad (serology, sequencing or isolation)"
"acomys russatus","mammalia","rodentia","muridae","acomys",FALSE,1,0,"bartonella acomydis","","Broad (serology, sequencing or isolation)"
"acridotheres cristatellus","aves","passeriformes","sturnidae","acridotheres",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"acridotheres tristis","aves","passeriformes","sturnidae","acridotheres",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"acris crepitans","amphibia","anura","hylidae","acris",FALSE,2,0,"batrachochytrium dendrobatidis, frog virus 3","","Broad (serology, sequencing or isolation)"
"acrocephalus arundinaceus","aves","passeriformes","sylviidae","acrocephalus",FALSE,2,0,"haemoproteus sylvae, plasmodium nucleophilum","","Broad (serology, sequencing or isolation)"
"acrocephalus dumetorum","aves","passeriformes","sylviidae","acrocephalus",TRUE,3,3,"avian orthoavulavirus 1, tick-borne encephalitis virus, west nile virus","avian orthoavulavirus 1, tick-borne encephalitis virus, west nile virus","Broad (serology, sequencing or isolation)"
"acrocephalus palustris","aves","passeriformes","sylviidae","acrocephalus",TRUE,1,1,"escherichia coli","escherichia coli","Broad (serology, sequencing or isolation)"
"acrocephalus schoenobaenus","aves","passeriformes","sylviidae","acrocephalus",FALSE,1,0,"haemoproteus belopolskyi","","Broad (serology, sequencing or isolation)"
"acrocephalus scirpaceus","aves","passeriformes","sylviidae","acrocephalus",TRUE,6,4,"campylobacter jejuni, yersinia rohdei, haemoproteus belopolskyi, haemoproteus payevskyi, sindbis virus, usutu virus","campylobacter jejuni, yersinia rohdei, sindbis virus, usutu virus","Broad (serology, sequencing or isolation)"
"acropoma hanedai","actinopteri","pempheriformes","acropomatidae","acropoma",FALSE,1,0,"photobacterium kishitanii","","Broad (serology, sequencing or isolation)"
"acropoma japonicum","actinopteri","pempheriformes","acropomatidae","acropoma",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"actinemys marmorata",NA,"testudines","emydidae","actinemys",FALSE,1,0,"chelonid alphaherpesvirus 6","","Broad (serology, sequencing or isolation)"
"actitis macularius","aves","charadriiformes","scolopacidae","actitis",TRUE,2,2,"clostridium botulinum, west nile virus","clostridium botulinum, west nile virus","Broad (serology, sequencing or isolation)"
"addax nasomaculatus","mammalia","artiodactyla","bovidae","addax",TRUE,2,1,"bluetongue virus, rotavirus a","rotavirus a","Broad (serology, sequencing or isolation)"
"aechmophorus occidentalis","aves","podicipediformes","podicipedidae","aechmophorus",TRUE,2,2,"avian orthoavulavirus 1, influenza a virus","avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"aegithalos caudatus","aves","passeriformes","aegithalidae","aegithalos",TRUE,2,1,"suttonella ornithocola, west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"aegolius acadicus","aves","strigiformes","strigidae","aegolius",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"aegolius funereus","aves","strigiformes","strigidae","aegolius",TRUE,1,1,"usutu virus","usutu virus","Broad (serology, sequencing or isolation)"
"aegypius monachus","aves","accipitriformes","accipitridae","aegypius",TRUE,3,2,"chlamydia psittaci, clostridium vulturis, west nile virus","chlamydia psittaci, west nile virus","Broad (serology, sequencing or isolation)"
"aeoliscus strigatus","actinopteri","syngnathiformes","centriscidae","aeoliscus",FALSE,1,0,"redspotted grouper nervous necrosis virus","","Broad (serology, sequencing or isolation)"
"aeorestes cinereus","mammalia","chiroptera","vespertilionidae","aeorestes",TRUE,2,2,"eastern equine encephalitis virus, rabies lyssavirus","eastern equine encephalitis virus, rabies lyssavirus","Broad (serology, sequencing or isolation)"
"aeorestes egregius","mammalia","chiroptera","vespertilionidae","aeorestes",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"aepyceros melampus","mammalia","artiodactyla","bovidae","aepyceros",TRUE,30,12,"anaplasma marginale, bacillus anthracis, brucella sp., clostridium tetani, escherichia coli, fusobacterium necrophorum, leptospira interrogans, mycobacterium tuberculosis, rhodococcus hoagii, cooperia fuelleborni, haemonchus bedfordi, haemonchus contortus, oesophagostomum columbianum, strongyloides papillosus, thysaniezia giardi, akabane orthobunyavirus, alcelaphine gammaherpesvirus 2, bluetongue virus, bovine alphaherpesvirus 1, bovine fever ephemerovirus, bovine orthopneumovirus, bovine respirovirus 3, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, lumpy skin disease virus, lymphocystis disease virus 1, pestivirus a, rift valley fever phlebovirus, rinderpest morbillivirus, rotavirus a","bacillus anthracis, clostridium tetani, escherichia coli, fusobacterium necrophorum, leptospira interrogans, mycobacterium tuberculosis, rhodococcus hoagii, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a, rift valley fever phlebovirus, rotavirus a","Broad (serology, sequencing or isolation)"
"aethomys kaiseri","mammalia","rodentia","muridae","aethomys",TRUE,2,1,"west nile virus, witwatersrand orthobunyavirus","west nile virus","Broad (serology, sequencing or isolation)"
"aetobatus narinari","chondrichthyes","myliobatiformes","myliobatidae","aetobatus",FALSE,2,0,"cephalobothrium aetobatidis, oncomegas australiensis","","Broad (serology, sequencing or isolation)"
"afrixalus fornasini","amphibia","anura","hyperoliidae","afrixalus",FALSE,1,0,"batrachochytrium dendrobatidis","","Broad (serology, sequencing or isolation)"
"afronycteris nana","mammalia","chiroptera","vespertilionidae","afronycteris",FALSE,1,0,"predict_orbi-1","","Broad (serology, sequencing or isolation)"
"agalychnis callidryas","amphibia","anura","hylidae","agalychnis",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"agama agama","lepidosauria","squamata","agamidae","agama",FALSE,2,0,"plasmodium agamae, plasmodium giganteum","","Broad (serology, sequencing or isolation)"
"agama impalearis","lepidosauria","squamata","agamidae","agama",FALSE,1,0,"devriesea agamarum","","Broad (serology, sequencing or isolation)"
"agamia agami","aves","pelecaniformes","ardeidae","agamia",TRUE,1,1,"avian coronavirus","avian coronavirus","Broad (serology, sequencing or isolation)"
"agapornis fischeri","aves","psittaciformes","psittacidae","agapornis",FALSE,2,0,"volucribacter psittacicida, beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"agapornis lilianae","aves","psittaciformes","psittacidae","agapornis",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"agapornis nigrigenis","aves","psittaciformes","psittacidae","agapornis",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"agapornis personatus","aves","psittaciformes","psittacidae","agapornis",TRUE,3,1,"aves polyomavirus 1, avian orthoavulavirus 1, psittaciform 1 orthobornavirus","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"agapornis pullarius","aves","psittaciformes","psittacidae","agapornis",TRUE,2,1,"aves polyomavirus 1, avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"agapornis roseicollis","aves","psittaciformes","psittacidae","agapornis",TRUE,4,3,"chlamydia psittaci, corynebacterium kroppenstedtii, encephalitozoon hellem, beak and feather disease virus","chlamydia psittaci, corynebacterium kroppenstedtii, encephalitozoon hellem","Broad (serology, sequencing or isolation)"
"agapornis taranta","aves","psittaciformes","psittacidae","agapornis",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"agelaioides badius","aves","passeriformes","icteridae","agelaioides",FALSE,1,0,"una virus","","Broad (serology, sequencing or isolation)"
"agelaius phoeniceus","aves","passeriformes","icteridae","agelaius",TRUE,13,8,"chlamydia psittaci, clostridium botulinum, coxiella burnetii, mycoplasma gallisepticum, rickettsia rickettsii, yersinia enterocolitica, gigantobilharzia huronensis, eastern equine encephalitis virus, flanders hapavirus, highlands j virus, tete orthobunyavirus, west nile virus, western equine encephalitis virus","chlamydia psittaci, clostridium botulinum, coxiella burnetii, rickettsia rickettsii, yersinia enterocolitica, eastern equine encephalitis virus, west nile virus, western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"agelaius tricolor","aves","passeriformes","icteridae","agelaius",TRUE,1,1,"saint louis encephalitis virus","saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"ageneiosus inermis","actinopteri","siluriformes","auchenipteridae","ageneiosus",FALSE,2,0,"gibsoniela meursaulti, mariauxiella brevifilis","","Broad (serology, sequencing or isolation)"
"agkistrodon bilineatus","lepidosauria","squamata","viperidae","agkistrodon",FALSE,1,0,"reptilian ferlavirus","","Broad (serology, sequencing or isolation)"
"agkistrodon contortrix","lepidosauria","squamata","viperidae","agkistrodon",TRUE,1,1,"eastern equine encephalitis virus","eastern equine encephalitis virus","Broad (serology, sequencing or isolation)"
"agkistrodon piscivorus","lepidosauria","squamata","viperidae","agkistrodon",TRUE,2,1,"ophiotaenia grandis, eastern equine encephalitis virus","eastern equine encephalitis virus","Broad (serology, sequencing or isolation)"
"agropsar sturninus","aves","passeriformes","sturnidae","agropsar",TRUE,1,1,"influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"ailuropoda melanoleuca","mammalia","carnivora","ursidae","ailuropoda",TRUE,10,7,"escherichia coli, klebsiella oxytoca, streptococcus dysgalactiae, baylisascaris schroederi, ailuropoda melanoleuca polyomavirus 1, alphacoronavirus 1, canine morbillivirus, carnivore protoparvovirus 1, influenza a virus, rotavirus a","escherichia coli, klebsiella oxytoca, streptococcus dysgalactiae, alphacoronavirus 1, canine morbillivirus, influenza a virus, rotavirus a","Broad (serology, sequencing or isolation)"
"ailurus fulgens","mammalia","carnivora","ailuridae","ailurus",TRUE,10,8,"[clostridium] piliforme, chromobacterium violaceum, yersinia enterocolitica, baylisascaris ailuri, dirofilaria immitis, canine morbillivirus, carnivore protoparvovirus 1, cowpox virus, mammalian orthorubulavirus 5, west nile virus","[clostridium] piliforme, chromobacterium violaceum, yersinia enterocolitica, dirofilaria immitis, canine morbillivirus, cowpox virus, mammalian orthorubulavirus 5, west nile virus","Broad (serology, sequencing or isolation)"
"aix galericulata","aves","anseriformes","anatidae","aix",TRUE,8,4,"chlamydia psittaci, avian orthoavulavirus 1, avian paraavulavirus 4, duck hepatitis b virus, fowl aviadenovirus c, influenza a virus, japanese encephalitis virus, pigeon circovirus","chlamydia psittaci, avian orthoavulavirus 1, influenza a virus, japanese encephalitis virus","Broad (serology, sequencing or isolation)"
"aix sponsa","aves","anseriformes","anatidae","aix",TRUE,10,6,"clostridium botulinum, erysipelothrix rhusiopathiae, mycobacterium avium, yersinia enterocolitica, avian metaavulavirus 6, avian orthoavulavirus 1, avian paraavulavirus 4, duck atadenovirus a, fowlpox virus, influenza a virus","clostridium botulinum, erysipelothrix rhusiopathiae, mycobacterium avium, yersinia enterocolitica, avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"akodon azarae","mammalia","rodentia","cricetidae","akodon",TRUE,5,2,"andes orthohantavirus, argentinian mammarenavirus, oliveros mammarenavirus, pixuna virus, rio negro virus","andes orthohantavirus, argentinian mammarenavirus","Broad (serology, sequencing or isolation)"
"akodon cursor","mammalia","rodentia","cricetidae","akodon",TRUE,2,1,"andes orthohantavirus, predict_mastv-10","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"akodon montensis","mammalia","rodentia","cricetidae","akodon",TRUE,5,2,"besnoitia akodoni, andes orthohantavirus, anopheles b orthobunyavirus, rodent protoparvovirus 3, saint louis encephalitis virus","andes orthohantavirus, saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"akodon paranaensis","mammalia","rodentia","cricetidae","akodon",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"akodon simulator","mammalia","rodentia","cricetidae","akodon",TRUE,1,1,"laguna negra orthohantavirus","laguna negra orthohantavirus","Broad (serology, sequencing or isolation)"
"akodon varius","mammalia","rodentia","cricetidae","akodon",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"alauda arvensis","aves","passeriformes","alaudidae","alauda",FALSE,1,0,"haemoproteus tartakovskyi","","Broad (serology, sequencing or isolation)"
"alburnoides bipunctatus","actinopteri","cypriniformes","leuciscidae","alburnoides",FALSE,1,0,"gyrodactylus hronosus","","Broad (serology, sequencing or isolation)"
"alburnus alburnus","actinopteri","cypriniformes","leuciscidae","alburnus",FALSE,9,0,"allocreadium isoporum, dactylogyrus fraternus, dactylogyrus minor, dactylogyrus parvus, gyrodactylus carassii, gyrodactylus gracilihamatus, gyrodactylus laevis, ligula colymbi, ligula intestinalis","","Broad (serology, sequencing or isolation)"
"alcedo atthis","aves","coraciiformes","alcedinidae","alcedo",TRUE,4,3,"aeromonas hydrophila, enterococcus alcedinis, usutu virus, west nile virus","aeromonas hydrophila, usutu virus, west nile virus","Broad (serology, sequencing or isolation)"
"alcelaphus buselaphus","mammalia","artiodactyla","bovidae","alcelaphus",TRUE,15,5,"bacillus anthracis, theileria sp., trypanosoma brucei, akabane orthobunyavirus, alcelaphine gammaherpesvirus 2, bluetongue virus, bovine alphaherpesvirus 1, bovine alphaherpesvirus 2, bovine fever ephemerovirus, bovine respirovirus 3, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, ovine gammaherpesvirus 2, pestivirus a, rinderpest morbillivirus","bacillus anthracis, trypanosoma brucei, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a","Broad (serology, sequencing or isolation)"
"alces alces","mammalia","artiodactyla","cervidae","alces",TRUE,51,24,"anaplasma phagocytophilum, bacillus anthracis, borreliella burgdorferi, brucella abortus, brucella suis, coxiella burnetii, enterococcus sp., erysipelothrix rhusiopathiae, escherichia coli, francisella tularensis, leptospira interrogans, moraxella ovis, mycobacterium avium, mycobacterium tuberculosis, salmonella sp., bunostomum trigonocephalum, dictyocaulus capreolus, dictyocaulus eckerti, echinococcus canadensis, echinococcus granulosus, elaphostrongylus alces, fasciola hepatica, moniezia benedeni, oesophagostomum venulosum, ostertagia leptospicularis, parafasciolopsis fasciolaemorpha, paramphistomum cervi, parelaphostrongylus tenuis, setaria tundra, taenia hydatigena, trichuris ovis, cryptosporidium parvum, giardia intestinalis, sarcocystis alces, sarcocystis alceslatrans, sarcocystis ovalis, sarcocystis scandinavica, sarcocystis sp., toxoplasma gondii, alcelaphine gammaherpesvirus 1, bovine alphaherpesvirus 1, bovine respirovirus 3, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, caprine gammaherpesvirus 2, deer atadenovirus a, deltapapillomavirus 1, orthohepevirus a, ovine gammaherpesvirus 2, pestivirus a, saint louis encephalitis virus","anaplasma phagocytophilum, bacillus anthracis, borreliella burgdorferi, brucella abortus, brucella suis, coxiella burnetii, erysipelothrix rhusiopathiae, escherichia coli, francisella tularensis, leptospira interrogans, mycobacterium avium, mycobacterium tuberculosis, bunostomum trigonocephalum, echinococcus canadensis, echinococcus granulosus, fasciola hepatica, cryptosporidium parvum, giardia intestinalis, toxoplasma gondii, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, orthohepevirus a, pestivirus a, saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"alces americanus","mammalia","artiodactyla","cervidae","alces",TRUE,4,3,"echinococcus canadensis, eastern equine encephalitis virus, orthohepevirus a, ovine gammaherpesvirus 2","echinococcus canadensis, eastern equine encephalitis virus, orthohepevirus a","Broad (serology, sequencing or isolation)"
"aldabrachelys gigantea",NA,"testudines","testudinidae","aldabrachelys",FALSE,1,0,"campylobacter iguaniorum","","Broad (serology, sequencing or isolation)"
"aldrichetta forsteri","actinopteri","mugiliformes","mugilidae","aldrichetta",FALSE,1,0,"tenacibaculum maritimum","","Broad (serology, sequencing or isolation)"
"alectoris barbara","aves","galliformes","phasianidae","alectoris",FALSE,2,0,"choanotaenia infundibulum, lyruterina nigropunctata","","Broad (serology, sequencing or isolation)"
"alectoris chukar","aves","galliformes","phasianidae","alectoris",TRUE,5,3,"erysipelothrix rhusiopathiae, ornithobacterium rhinotracheale, avian orthoavulavirus 1, highlands j virus, influenza a virus","erysipelothrix rhusiopathiae, avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"alectoris graeca","aves","galliformes","phasianidae","alectoris",TRUE,5,3,"erysipelothrix rhusiopathiae, mycoplasma gallisepticum, eastern equine encephalitis virus, highlands j virus, west nile virus","erysipelothrix rhusiopathiae, eastern equine encephalitis virus, west nile virus","Broad (serology, sequencing or isolation)"
"alectoris rufa","aves","galliformes","phasianidae","alectoris",TRUE,7,2,"listeria monocytogenes, mycoplasma gallinaceum, mycoplasma synoviae, ornithobacterium rhinotracheale, bagaza virus, fowlpox virus, usutu virus","listeria monocytogenes, usutu virus","Broad (serology, sequencing or isolation)"
"alepes djedaba","actinopteri","carangiformes","carangidae","alepes",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"alepocephalus bairdii","actinopteri","alepocephaliformes","alepocephalidae","alepocephalus",FALSE,1,0,"lecithophyllum botryophorum","","Broad (serology, sequencing or isolation)"
"alethe diademata","aves","passeriformes","turdidae","alethe",FALSE,1,0,"plasmodium parahexamerium","","Broad (serology, sequencing or isolation)"
"alexandromys middendorffii","mammalia","rodentia","cricetidae","alexandromys",FALSE,1,0,"anoplocephaloides dentata","","Broad (serology, sequencing or isolation)"
"algansea lacustris","actinopteri","cypriniformes","leuciscidae","algansea",FALSE,1,0,"octomacrum mexicanum","","Broad (serology, sequencing or isolation)"
"alipiopsitta xanthops","aves","psittaciformes","psittacidae","alipiopsitta",FALSE,1,0,"psittacid alphaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"alisterus amboinensis","aves","psittaciformes","psittacidae","alisterus",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"alisterus scapularis","aves","psittaciformes","psittacidae","alisterus",TRUE,2,1,"citrobacter freundii, beak and feather disease virus","citrobacter freundii","Broad (serology, sequencing or isolation)"
